serial_number,order_number,title,price,compare_at_price,date_sold,date_created,date_updated,tags,product_type,details,listing_url,image_url
8841,8593850302,Saga #8841 8593850302,$380.00,,2026-03-02 11:22,2026-03-02 10:24,2026-03-03 10:21,buyers choice,saga,"Blurple with Bronze Flakes Anodized Titanium Body, Tip and Clip | Pink Anodized Titanium Crosshatch Slider | No Logo Engraving on the Button | Grimsmo Logos on the Tip | 17- 4PH H900 Stainless Mechanism with Si3N4 Ceramic Bearing Balls | NANUK x Grimsmo Moose Blood Red Carrying Case | SCHMIDT P900F Black Ink Cartridge with an extra Blue Cartridge | Custom Machined and Lasered Foam Insert | Grimsmo Pocket Book included",https://grimsmoknives.com/products/saga-8841-8593850302,https://cdn.shopify.com/s/files/1/0684/0889/files/IMG_0064_0717d370-485f-481c-8415-23d01068ecc1.jpg?v=1772465102
8839,8593850302,Saga #8839 8593850302,$380.00,,2026-03-02 11:11,2026-03-02 10:02,2026-03-03 10:21,buyers choice,saga,"Plum with Blue Accents Anodized Titanium Body, Tip and Clip | Blue Anodized Titanium Helix Slider | Grimsmo Logo Engraving on the Button | Grimsmo Logos on the Tip | 17- 4PH H900 Stainless Mechanism with Si3N4 Ceramic Bearing Balls | NANUK x Grimsmo Algonquin Green Carrying Case | SCHMIDT P900F Black Ink Cartridge with an extra Blue Cartridge | Custom Machined and Lasered Foam Insert | Grimsmo Pocket Book included",https://grimsmoknives.com/products/saga-8839-8593850302,https://cdn.shopify.com/s/files/1/0684/0889/files/IMG_0055_fbbd84ef-1083-449d-8cf5-642545d8769f.jpg?v=1772463832
8818,8593850225,Saga #8818 8593850225,$425.00,,2026-02-25 15:21,2026-02-25 15:07,2026-03-03 10:21,buyers choice,saga,"Blasted Black Anodized Titanium Body, Tip and Clip | DLC Coated Titanium Helix Slider with DLC Coated Button Mechanism | Grimsmo Logo Engraving on the Button | No Logos on the Tip | 17- 4PH H900 Stainless Mechanism with Si3N4 Ceramic Bearing Balls | NANUK x Grimsmo Bisaro Black Carrying Case | SCHMIDT P900F Black Ink Cartridge with an extra Blue Cartridge | Custom Machined and Lasered Foam Insert | Grimsmo Pocket Book included",https://grimsmoknives.com/products/saga-8818-8593850225,https://cdn.shopify.com/s/files/1/0684/0889/files/IMG_0001_ea46630e-ac77-4f11-af16-0809fc544b1b.jpg?v=1772050043
8834,8593850225,Saga #8834 8593850225,$355.00,,2026-02-25 15:20,2026-02-25 15:05,2026-03-03 10:21,buyers choice,saga,"Ice Blue Anodized Titanium Body, Tip and Clip | Blue Anodized Titanium Crosshatch Slider | Grimsmo Logo Engraving on the Button | Grimsmo Logos on the Tip | 17- 4PH H900 Stainless Mechanism with Si3N4 Ceramic Bearing Balls | NANUK x Grimsmo Bisaro Black Carrying Case | SCHMIDT P900F Black Ink Cartridge with an extra Blue Cartridge | Custom Machined and Lasered Foam Insert | Grimsmo Pocket Book included",https://grimsmoknives.com/products/saga-8834-8593850225,https://cdn.shopify.com/s/files/1/0684/0889/files/IMG_0002_4dd2edda-fddf-49a7-9c55-05e9c4f5c545.jpg?v=1772049948
8831,8593850225,Saga #8831 8593850225,$365.00,,2026-02-25 15:24,2026-02-25 14:53,2026-03-03 10:21,buyers choice,saga,Stonewashed Titanium Body and Tip with Distressed Plum Anodized Titanium Clip | Raw Titanium Helix Slider | Grimsmo Logo Engraving on the Button | No Logos on the Tip | 17- 4PH H900 Stainless Mechanism with Si3N4 Ceramic Bearing Balls | NANUK x Grimsmo Moose Blood Red Carrying Case | SCHMIDT P900F Black Ink Cartridge with an extra Blue Cartridge | Custom Machined and Lasered Foam Insert | Grimsmo Pocket Book included,https://grimsmoknives.com/products/saga-8831-8593850225,https://cdn.shopify.com/s/files/1/0684/0889/files/IMG_0007_b1596f9e-d221-47ff-ad07-235ef2f448eb.jpg?v=1772049212
8696,8593850225,Saga #8696 8593850225,$410.00,,2026-02-25 15:14,2026-02-25 14:46,2026-03-03 10:21,buyers choice,saga,"Blasted Black Anodized Titanium Body, Tip and Clip | Bronze Helix Slider with DLC Coated Button Mechanism | Grimsmo Logo Engraving on the Button | No Logos on the Tip | 17- 4PH H900 Stainless Mechanism with Si3N4 Ceramic Bearing Balls | NANUK x Grimsmo Bisaro Black Carrying Case | SCHMIDT P900F Black Ink Cartridge with an extra Blue Cartridge | Custom Machined and Lasered Foam Insert | Grimsmo Pocket Book included",https://grimsmoknives.com/products/saga-8696-8593850225,https://cdn.shopify.com/s/files/1/0684/0889/files/IMG_0009_d2ff6580-b115-4e9e-b151-f7eef397e6cd.jpg?v=1772050433
8803,8593850218,Saga #8803 8593850218,$355.00,,2026-02-18 15:46,2026-02-18 15:35,2026-03-03 10:21,buyers choice,saga,Blue Anodized Titanium Body with Blue Accented Anodized Titanium Tip and Clip | Blue Anodized Titanium Helix Slider | Grimsmo Logo Engraving on the Button | Grimsmo Logos on the Tip | 17- 4PH H900 Stainless Mechanism with Si3N4 Ceramic Bearing Balls | NANUK x Grimsmo Algonquin Green Carrying Case | SCHMIDT P900F Black Ink Cartridge with an extra Blue Cartridge | Custom Machined and Lasered Foam Insert | Grimsmo Pocket Book included,https://grimsmoknives.com/products/saga-8803-8593850218,https://cdn.shopify.com/s/files/1/0684/0889/files/IMG_0010_69a09cd1-ec71-45e7-adb7-f426ee973d89.jpg?v=1771446908
8798,8593850218,Saga #8798 8593850218,$390.00,,2026-02-18 15:45,2026-02-18 15:33,2026-03-03 10:21,buyers choice,saga,"Green Anodized Titanium Body, Tip and Clip | DLC Coated Titanium Crosshatch Slider with DLC Coated Button Mechanism | Grimsmo Logo Engraving on the Button | No Logos on the Tip | 17- 4PH H900 Stainless Mechanism with Si3N4 Ceramic Bearing Balls | NANUK x Grimsmo Bisaro Black Carrying Case | SCHMIDT P900F Black Ink Cartridge with an extra Blue Cartridge | Custom Machined and Lasered Foam Insert | Grimsmo Pocket Book included",https://grimsmoknives.com/products/saga-8798-8593850218,https://cdn.shopify.com/s/files/1/0684/0889/files/IMG_0009_bcd24497-9898-4b18-9c1a-1df41cafd2a3.jpg?v=1771446822
8800,8593850218,Saga #8800 8593850218,$330.00,,2026-02-18 15:42,2026-02-18 15:28,2026-03-03 10:21,buyers choice,saga,"Stonewashed Titanium Body, Tip and Clip | Raw Titanium Crosshatch Slider | No Logo Engraving on the Button | No Logos on the Tip | 17- 4PH H900 Stainless Mechanism with Si3N4 Ceramic Bearing Balls | NANUK x Grimsmo Bisaro Black Carrying Case | SCHMIDT P900F Black Ink Cartridge with an extra Blue Cartridge | Custom Machined and Lasered Foam Insert | Grimsmo Pocket Book included",https://grimsmoknives.com/products/saga-8800-8593850218,https://cdn.shopify.com/s/files/1/0684/0889/files/IMG_0006_cbffbdf7-32f7-4a2b-b65d-7e1e5211d1dd.jpg?v=1771446493
8804,8593850218,Saga #8804 8593850218,$380.00,,2026-02-18 15:41,2026-02-18 15:26,2026-03-03 10:21,buyers choice,saga,"Rose Gold with Purple Flakes Anodized Titanium Body, Tip and Clip | Rose Gold Anodized Titanium Crosshatch Slider | Grimsmo Logo Engraving on the Button | No Logos on the Tip | 17- 4PH H900 Stainless Mechanism with Si3N4 Ceramic Bearing Balls | NANUK x Grimsmo Moose Blood Red Carrying Case | SCHMIDT P900F Black Ink Cartridge with an extra Blue Cartridge | Custom Machined and Lasered Foam Insert | Grimsmo Pocket Book included",https://grimsmoknives.com/products/saga-8804-8593850218,https://cdn.shopify.com/s/files/1/0684/0889/files/IMG_0005_6df7607d-c0c2-4512-b75f-dee2c386f7c4.jpg?v=1771446407
8805,8593850218,Saga #8805 8593850218,$330.00,,2026-02-18 15:41,2026-02-18 15:24,2026-03-03 10:21,buyers choice,saga,"Stonewashed Titanium Body, Tip and Clip | Blue Anodized Titanium Helix Slider | Grimsmo Logo Engraving on the Button | Grimsmo Logos on the Tip | 17- 4PH H900 Stainless Mechanism with Si3N4 Ceramic Bearing Balls | NANUK x Grimsmo Moose Blood Red Carrying Case | SCHMIDT P900F Black Ink Cartridge with an extra Blue Cartridge | Custom Machined and Lasered Foam Insert | Grimsmo Pocket Book included",https://grimsmoknives.com/products/saga-8805-8593850218,https://cdn.shopify.com/s/files/1/0684/0889/files/IMG_0004_42c001d6-43ce-483c-930e-f739216c270b.jpg?v=1771446268
